No overlap between train and test sets.
[66]	train-logloss:0.00839	train-auc:1.00000	eval-logloss:0.15057	eval-auc:0.58954
[67]	train-logloss:0.00811	train-auc:1.00000	eval-logloss:0.15123	eval-auc:0.58864
[68]	train-logloss:0.00790	train-auc:1.00000	eval-logloss:0.15219	eval-auc:0.58835
[69]	train-logloss:0.00781	train-auc:1.00000	eval-logloss:0.15218	eval-auc:0.59072
[70]	train-logloss:0.00760	train-auc:1.00000	eval-logloss:0.15230	eval-auc:0.59330
[71]	train-logloss:0.00749	train-auc:1.00000	eval-logloss:0.15296	eval-auc:0.59551
[72]	train-logloss:0.00726	train-auc:1.00000	eval-logloss:0.15356	eval-auc:0.59624
[73]	train-logloss:0.00706	train-auc:1.00000	eval-logloss:0.15388	eval-auc:0.59423
[74]	train-logloss:0.00691	train-auc:1.00000	eval-logloss:0.15455	eval-auc:0.59222
[75]	train-logloss:0.00677	train-auc:1.00000	eval-logloss:0.15497	eval-auc:0.58991
[76]	train-logloss:0.00655	train-auc:1.00000	eval-logloss:0.15565	eval-auc:0.58806
[77]	train-logloss:0.00644	train-auc:1.00000	eval-logloss:0.15608	eval-auc:0.58834
[78]	train-logloss:0.00618	train-auc:1.00000	eval-logloss:0.15667	eval-auc:0.58817
[79]	train-logloss:0.00609	train-auc:1.00000	eval-logloss:0.15643	eval-auc:0.58959
[80]	train-logloss:0.00586	train-auc:1.00000	eval-logloss:0.15703	eval-auc:0.59408
[81]	train-logloss:0.00562	train-auc:1.00000	eval-logloss:0.15773	eval-auc:0.59515
[82]	train-logloss:0.00560	train-auc:1.00000	eval-logloss:0.15783	eval-auc:0.59626
[83]	train-logloss:0.00550	train-auc:1.00000	eval-logloss:0.15803	eval-auc:0.59688
[84]	train-logloss:0.00533	train-auc:1.00000	eval-logloss:0.15857	eval-auc:0.59620
[85]	train-logloss:0.00525	train-auc:1.00000	eval-logloss:0.15844	eval-auc:0.59704
[86]	train-logloss:0.00512	train-auc:1.00000	eval-logloss:0.15901	eval-auc:0.59676
[87]	train-logloss:0.00497	train-auc:1.00000	eval-logloss:0.15934	eval-auc:0.59615
[88]	train-logloss:0.00483	train-auc:1.00000	eval-logloss:0.15973	eval-auc:0.59548
[89]	train-logloss:0.00479	train-auc:1.00000	eval-logloss:0.15990	eval-auc:0.59582
[90]	train-logloss:0.00456	train-auc:1.00000	eval-logloss:0.16142	eval-auc:0.59587
[91]	train-logloss:0.00443	train-auc:1.00000	eval-logloss:0.16189	eval-auc:0.59609
[92]	train-logloss:0.00428	train-auc:1.00000	eval-logloss:0.16290	eval-auc:0.59416
[93]	train-logloss:0.00424	train-auc:1.00000	eval-logloss:0.16311	eval-auc:0.59491
[94]	train-logloss:0.00411	train-auc:1.00000	eval-logloss:0.16331	eval-auc:0.59532
[95]	train-logloss:0.00400	train-auc:1.00000	eval-logloss:0.16400	eval-auc:0.59578
[96]	train-logloss:0.00386	train-auc:1.00000	eval-logloss:0.16446	eval-auc:0.59513
[97]	train-logloss:0.00380	train-auc:1.00000	eval-logloss:0.16475	eval-auc:0.59617
[98]	train-logloss:0.00377	train-auc:1.00000	eval-logloss:0.16499	eval-auc:0.59620
[99]	train-logloss:0.00372	train-auc:1.00000	eval-logloss:0.16533	eval-auc:0.59594
[100]	train-logloss:0.00365	train-auc:1.00000	eval-logloss:0.16592	eval-auc:0.59411
[101]	train-logloss:0.00361	train-auc:1.00000	eval-logloss:0.16608	eval-auc:0.59401
[102]	train-logloss:0.00354	train-auc:1.00000	eval-logloss:0.16610	eval-auc:0.59523
[103]	train-logloss:0.00347	train-auc:1.00000	eval-logloss:0.16645	eval-auc:0.59444
[104]	train-logloss:0.00337	train-auc:1.00000	eval-logloss:0.16667	eval-auc:0.59493
[105]	train-logloss:0.00329	train-auc:1.00000	eval-logloss:0.16651	eval-auc:0.59557
[106]	train-logloss:0.00326	train-auc:1.00000	eval-logloss:0.16676	eval-auc:0.59489
