No overlap between train and test sets.
[66]	train-logloss:0.00894	train-auc:0.99997	eval-logloss:0.14664	eval-auc:0.60225
[67]	train-logloss:0.00863	train-auc:0.99998	eval-logloss:0.14700	eval-auc:0.60327
[68]	train-logloss:0.00839	train-auc:0.99999	eval-logloss:0.14737	eval-auc:0.60339
[69]	train-logloss:0.00826	train-auc:0.99999	eval-logloss:0.14776	eval-auc:0.60375
[70]	train-logloss:0.00819	train-auc:0.99999	eval-logloss:0.14842	eval-auc:0.60166
[71]	train-logloss:0.00801	train-auc:0.99999	eval-logloss:0.14954	eval-auc:0.60060
[72]	train-logloss:0.00788	train-auc:0.99999	eval-logloss:0.15021	eval-auc:0.59925
[73]	train-logloss:0.00777	train-auc:0.99999	eval-logloss:0.15072	eval-auc:0.59863
[74]	train-logloss:0.00761	train-auc:0.99999	eval-logloss:0.15107	eval-auc:0.60051
[75]	train-logloss:0.00747	train-auc:0.99999	eval-logloss:0.15232	eval-auc:0.59734
[76]	train-logloss:0.00734	train-auc:0.99999	eval-logloss:0.15315	eval-auc:0.59348
[77]	train-logloss:0.00716	train-auc:0.99999	eval-logloss:0.15379	eval-auc:0.59229
[78]	train-logloss:0.00707	train-auc:0.99999	eval-logloss:0.15390	eval-auc:0.59318
[79]	train-logloss:0.00697	train-auc:0.99999	eval-logloss:0.15418	eval-auc:0.59324
[80]	train-logloss:0.00674	train-auc:0.99999	eval-logloss:0.15487	eval-auc:0.59338
[81]	train-logloss:0.00661	train-auc:0.99999	eval-logloss:0.15536	eval-auc:0.59425
[82]	train-logloss:0.00642	train-auc:1.00000	eval-logloss:0.15604	eval-auc:0.59341
[83]	train-logloss:0.00636	train-auc:1.00000	eval-logloss:0.15618	eval-auc:0.59387
[84]	train-logloss:0.00629	train-auc:1.00000	eval-logloss:0.15714	eval-auc:0.59154
[85]	train-logloss:0.00608	train-auc:1.00000	eval-logloss:0.15806	eval-auc:0.59210
[86]	train-logloss:0.00589	train-auc:1.00000	eval-logloss:0.15883	eval-auc:0.59216
[87]	train-logloss:0.00583	train-auc:1.00000	eval-logloss:0.15953	eval-auc:0.59394
[88]	train-logloss:0.00564	train-auc:1.00000	eval-logloss:0.16116	eval-auc:0.59003
[89]	train-logloss:0.00545	train-auc:1.00000	eval-logloss:0.16171	eval-auc:0.59015
[90]	train-logloss:0.00541	train-auc:1.00000	eval-logloss:0.16224	eval-auc:0.59014
[91]	train-logloss:0.00533	train-auc:1.00000	eval-logloss:0.16230	eval-auc:0.59078
[92]	train-logloss:0.00528	train-auc:1.00000	eval-logloss:0.16267	eval-auc:0.59053
[93]	train-logloss:0.00520	train-auc:1.00000	eval-logloss:0.16279	eval-auc:0.59261
[94]	train-logloss:0.00511	train-auc:1.00000	eval-logloss:0.16429	eval-auc:0.58806
[95]	train-logloss:0.00494	train-auc:1.00000	eval-logloss:0.16531	eval-auc:0.58721
[96]	train-logloss:0.00486	train-auc:1.00000	eval-logloss:0.16517	eval-auc:0.58905
[97]	train-logloss:0.00481	train-auc:1.00000	eval-logloss:0.16548	eval-auc:0.58836
[98]	train-logloss:0.00476	train-auc:1.00000	eval-logloss:0.16582	eval-auc:0.58894
[99]	train-logloss:0.00469	train-auc:1.00000	eval-logloss:0.16635	eval-auc:0.58761
