No overlap between train and test sets.
[66]	train-logloss:0.02059	train-auc:0.99893	eval-logloss:0.15512	eval-auc:0.58611
[67]	train-logloss:0.02047	train-auc:0.99894	eval-logloss:0.15565	eval-auc:0.58512
[68]	train-logloss:0.02023	train-auc:0.99895	eval-logloss:0.15608	eval-auc:0.58565
[69]	train-logloss:0.01986	train-auc:0.99903	eval-logloss:0.15725	eval-auc:0.58192
[70]	train-logloss:0.01946	train-auc:0.99917	eval-logloss:0.15715	eval-auc:0.58621
[71]	train-logloss:0.01899	train-auc:0.99932	eval-logloss:0.15764	eval-auc:0.58558
[72]	train-logloss:0.01853	train-auc:0.99939	eval-logloss:0.15800	eval-auc:0.58427
[73]	train-logloss:0.01829	train-auc:0.99942	eval-logloss:0.15814	eval-auc:0.58482
[74]	train-logloss:0.01778	train-auc:0.99946	eval-logloss:0.15914	eval-auc:0.58733
[75]	train-logloss:0.01725	train-auc:0.99951	eval-logloss:0.15968	eval-auc:0.58656
[76]	train-logloss:0.01694	train-auc:0.99955	eval-logloss:0.15967	eval-auc:0.58808
[77]	train-logloss:0.01651	train-auc:0.99958	eval-logloss:0.15997	eval-auc:0.58822
[78]	train-logloss:0.01627	train-auc:0.99960	eval-logloss:0.16044	eval-auc:0.58895
[79]	train-logloss:0.01611	train-auc:0.99962	eval-logloss:0.16084	eval-auc:0.58815
[80]	train-logloss:0.01574	train-auc:0.99965	eval-logloss:0.16142	eval-auc:0.58704
[81]	train-logloss:0.01558	train-auc:0.99966	eval-logloss:0.16204	eval-auc:0.58674
[82]	train-logloss:0.01545	train-auc:0.99967	eval-logloss:0.16231	eval-auc:0.58824
[83]	train-logloss:0.01501	train-auc:0.99972	eval-logloss:0.16282	eval-auc:0.58933
[84]	train-logloss:0.01471	train-auc:0.99975	eval-logloss:0.16344	eval-auc:0.58990
[85]	train-logloss:0.01464	train-auc:0.99976	eval-logloss:0.16353	eval-auc:0.59181
[86]	train-logloss:0.01434	train-auc:0.99978	eval-logloss:0.16342	eval-auc:0.59311
[87]	train-logloss:0.01425	train-auc:0.99979	eval-logloss:0.16358	eval-auc:0.59437
[88]	train-logloss:0.01417	train-auc:0.99979	eval-logloss:0.16405	eval-auc:0.59368
[89]	train-logloss:0.01391	train-auc:0.99981	eval-logloss:0.16422	eval-auc:0.59417
[90]	train-logloss:0.01357	train-auc:0.99982	eval-logloss:0.16459	eval-auc:0.59844
[91]	train-logloss:0.01349	train-auc:0.99983	eval-logloss:0.16485	eval-auc:0.59902
[92]	train-logloss:0.01326	train-auc:0.99986	eval-logloss:0.16530	eval-auc:0.60053
[93]	train-logloss:0.01301	train-auc:0.99988	eval-logloss:0.16601	eval-auc:0.60125
[94]	train-logloss:0.01283	train-auc:0.99989	eval-logloss:0.16655	eval-auc:0.60054
[95]	train-logloss:0.01260	train-auc:0.99990	eval-logloss:0.16680	eval-auc:0.59995
[96]	train-logloss:0.01249	train-auc:0.99990	eval-logloss:0.16763	eval-auc:0.59882
[97]	train-logloss:0.01229	train-auc:0.99990	eval-logloss:0.16823	eval-auc:0.59814
[98]	train-logloss:0.01206	train-auc:0.99992	eval-logloss:0.16813	eval-auc:0.59962
[99]	train-logloss:0.01174	train-auc:0.99993	eval-logloss:0.16833	eval-auc:0.59970
[100]	train-logloss:0.01153	train-auc:0.99994	eval-logloss:0.16878	eval-auc:0.59996
[101]	train-logloss:0.01137	train-auc:0.99994	eval-logloss:0.16896	eval-auc:0.60067
[102]	train-logloss:0.01119	train-auc:0.99994	eval-logloss:0.16946	eval-auc:0.60163
[103]	train-logloss:0.01109	train-auc:0.99994	eval-logloss:0.16973	eval-auc:0.60214
[104]	train-logloss:0.01094	train-auc:0.99995	eval-logloss:0.17038	eval-auc:0.60109
[105]	train-logloss:0.01078	train-auc:0.99996	eval-logloss:0.17062	eval-auc:0.60187
[106]	train-logloss:0.01066	train-auc:0.99996	eval-logloss:0.17098	eval-auc:0.60146
[107]	train-logloss:0.01047	train-auc:0.99996	eval-logloss:0.17094	eval-auc:0.60280
[108]	train-logloss:0.01024	train-auc:0.99996	eval-logloss:0.17089	eval-auc:0.60557
[109]	train-logloss:0.01002	train-auc:0.99997	eval-logloss:0.17173	eval-auc:0.60405
[110]	train-logloss:0.00988	train-auc:0.99997	eval-logloss:0.17251	eval-auc:0.60276
[111]	train-logloss:0.00977	train-auc:0.99997	eval-logloss:0.17295	eval-auc:0.60202
[112]	train-logloss:0.00970	train-auc:0.99997	eval-logloss:0.17326	eval-auc:0.60308
[113]	train-logloss:0.00963	train-auc:0.99997	eval-logloss:0.17362	eval-auc:0.60167
[114]	train-logloss:0.00947	train-auc:0.99997	eval-logloss:0.17462	eval-auc:0.59924
[115]	train-logloss:0.00938	train-auc:0.99997	eval-logloss:0.17474	eval-auc:0.59900
[116]	train-logloss:0.00928	train-auc:0.99997	eval-logloss:0.17484	eval-auc:0.60055
[117]	train-logloss:0.00907	train-auc:0.99998	eval-logloss:0.17502	eval-auc:0.60031
[118]	train-logloss:0.00899	train-auc:0.99998	eval-logloss:0.17490	eval-auc:0.60134
[119]	train-logloss:0.00883	train-auc:0.99998	eval-logloss:0.17657	eval-auc:0.59713
[120]	train-logloss:0.00875	train-auc:0.99998	eval-logloss:0.17707	eval-auc:0.59696
[121]	train-logloss:0.00868	train-auc:0.99998	eval-logloss:0.17779	eval-auc:0.59749
[122]	train-logloss:0.00852	train-auc:0.99998	eval-logloss:0.17802	eval-auc:0.59822
[123]	train-logloss:0.00837	train-auc:0.99999	eval-logloss:0.17843	eval-auc:0.59723
[124]	train-logloss:0.00824	train-auc:0.99999	eval-logloss:0.17900	eval-auc:0.59714
[125]	train-logloss:0.00810	train-auc:0.99999	eval-logloss:0.17944	eval-auc:0.59779
[126]	train-logloss:0.00802	train-auc:0.99999	eval-logloss:0.17980	eval-auc:0.59732
[127]	train-logloss:0.00797	train-auc:0.99999	eval-logloss:0.18007	eval-auc:0.59777
