No overlap between train and test sets.
[66]	train-logloss:0.00074	train-auc:0.99996	eval-logloss:0.01517	eval-auc:0.99676
[67]	train-logloss:0.00072	train-auc:0.99996	eval-logloss:0.01521	eval-auc:0.99677
[68]	train-logloss:0.00071	train-auc:0.99996	eval-logloss:0.01514	eval-auc:0.99695
[69]	train-logloss:0.00069	train-auc:0.99996	eval-logloss:0.01523	eval-auc:0.99674
[70]	train-logloss:0.00067	train-auc:0.99997	eval-logloss:0.01525	eval-auc:0.99666
[71]	train-logloss:0.00065	train-auc:0.99997	eval-logloss:0.01521	eval-auc:0.99655
[72]	train-logloss:0.00064	train-auc:0.99997	eval-logloss:0.01534	eval-auc:0.99633
[73]	train-logloss:0.00062	train-auc:0.99997	eval-logloss:0.01545	eval-auc:0.99617
[74]	train-logloss:0.00061	train-auc:0.99997	eval-logloss:0.01543	eval-auc:0.99628
[75]	train-logloss:0.00060	train-auc:0.99997	eval-logloss:0.01552	eval-auc:0.99610
[76]	train-logloss:0.00057	train-auc:0.99998	eval-logloss:0.01545	eval-auc:0.99618
[77]	train-logloss:0.00056	train-auc:0.99998	eval-logloss:0.01552	eval-auc:0.99586
[78]	train-logloss:0.00055	train-auc:0.99998	eval-logloss:0.01565	eval-auc:0.99564
[79]	train-logloss:0.00054	train-auc:0.99998	eval-logloss:0.01553	eval-auc:0.99581
[80]	train-logloss:0.00052	train-auc:0.99998	eval-logloss:0.01567	eval-auc:0.99569
[81]	train-logloss:0.00051	train-auc:0.99998	eval-logloss:0.01567	eval-auc:0.99580
[82]	train-logloss:0.00050	train-auc:0.99999	eval-logloss:0.01572	eval-auc:0.99554
[83]	train-logloss:0.00049	train-auc:0.99999	eval-logloss:0.01571	eval-auc:0.99565
[84]	train-logloss:0.00047	train-auc:0.99999	eval-logloss:0.01573	eval-auc:0.99575
[85]	train-logloss:0.00045	train-auc:0.99999	eval-logloss:0.01577	eval-auc:0.99565
[86]	train-logloss:0.00044	train-auc:0.99999	eval-logloss:0.01581	eval-auc:0.99557
[87]	train-logloss:0.00043	train-auc:0.99999	eval-logloss:0.01576	eval-auc:0.99573
[88]	train-logloss:0.00042	train-auc:0.99999	eval-logloss:0.01573	eval-auc:0.99583
[89]	train-logloss:0.00041	train-auc:0.99999	eval-logloss:0.01591	eval-auc:0.99567
[90]	train-logloss:0.00040	train-auc:1.00000	eval-logloss:0.01597	eval-auc:0.99584
[91]	train-logloss:0.00039	train-auc:1.00000	eval-logloss:0.01593	eval-auc:0.99597
[92]	train-logloss:0.00038	train-auc:1.00000	eval-logloss:0.01602	eval-auc:0.99562
[93]	train-logloss:0.00037	train-auc:1.00000	eval-logloss:0.01602	eval-auc:0.99552
[94]	train-logloss:0.00036	train-auc:1.00000	eval-logloss:0.01610	eval-auc:0.99567
[95]	train-logloss:0.00035	train-auc:1.00000	eval-logloss:0.01617	eval-auc:0.99577
[96]	train-logloss:0.00033	train-auc:1.00000	eval-logloss:0.01613	eval-auc:0.99593
[97]	train-logloss:0.00032	train-auc:1.00000	eval-logloss:0.01614	eval-auc:0.99597
[98]	train-logloss:0.00032	train-auc:1.00000	eval-logloss:0.01617	eval-auc:0.99596
[99]	train-logloss:0.00031	train-auc:1.00000	eval-logloss:0.01619	eval-auc:0.99582
[100]	train-logloss:0.00030	train-auc:1.00000	eval-logloss:0.01618	eval-auc:0.99582
