No overlap between train and test sets.
[66]	train-logloss:0.01289	train-auc:0.99999	eval-logloss:0.16359	eval-auc:0.51232
[67]	train-logloss:0.01274	train-auc:0.99999	eval-logloss:0.16389	eval-auc:0.51437
[68]	train-logloss:0.01238	train-auc:1.00000	eval-logloss:0.16503	eval-auc:0.51300
[69]	train-logloss:0.01196	train-auc:1.00000	eval-logloss:0.16573	eval-auc:0.51550
[70]	train-logloss:0.01164	train-auc:1.00000	eval-logloss:0.16615	eval-auc:0.51660
[71]	train-logloss:0.01138	train-auc:1.00000	eval-logloss:0.16710	eval-auc:0.51639
[72]	train-logloss:0.01084	train-auc:1.00000	eval-logloss:0.16838	eval-auc:0.51599
[73]	train-logloss:0.01050	train-auc:1.00000	eval-logloss:0.16914	eval-auc:0.51535
[74]	train-logloss:0.01022	train-auc:1.00000	eval-logloss:0.16974	eval-auc:0.51606
[75]	train-logloss:0.01001	train-auc:1.00000	eval-logloss:0.17116	eval-auc:0.51340
[76]	train-logloss:0.00989	train-auc:1.00000	eval-logloss:0.17129	eval-auc:0.51502
[77]	train-logloss:0.00960	train-auc:1.00000	eval-logloss:0.17235	eval-auc:0.51234
[78]	train-logloss:0.00933	train-auc:1.00000	eval-logloss:0.17273	eval-auc:0.51388
[79]	train-logloss:0.00892	train-auc:1.00000	eval-logloss:0.17351	eval-auc:0.51553
[80]	train-logloss:0.00865	train-auc:1.00000	eval-logloss:0.17376	eval-auc:0.51559
[81]	train-logloss:0.00837	train-auc:1.00000	eval-logloss:0.17515	eval-auc:0.51454
[82]	train-logloss:0.00813	train-auc:1.00000	eval-logloss:0.17591	eval-auc:0.51460
[83]	train-logloss:0.00805	train-auc:1.00000	eval-logloss:0.17593	eval-auc:0.51604
[84]	train-logloss:0.00785	train-auc:1.00000	eval-logloss:0.17705	eval-auc:0.51405
[85]	train-logloss:0.00771	train-auc:1.00000	eval-logloss:0.17765	eval-auc:0.51380
[86]	train-logloss:0.00746	train-auc:1.00000	eval-logloss:0.17888	eval-auc:0.51377
[87]	train-logloss:0.00737	train-auc:1.00000	eval-logloss:0.17954	eval-auc:0.51326
[88]	train-logloss:0.00723	train-auc:1.00000	eval-logloss:0.18026	eval-auc:0.51218
[89]	train-logloss:0.00706	train-auc:1.00000	eval-logloss:0.18112	eval-auc:0.51195
[90]	train-logloss:0.00685	train-auc:1.00000	eval-logloss:0.18168	eval-auc:0.51226
[91]	train-logloss:0.00663	train-auc:1.00000	eval-logloss:0.18238	eval-auc:0.51281
[92]	train-logloss:0.00652	train-auc:1.00000	eval-logloss:0.18298	eval-auc:0.51129
[93]	train-logloss:0.00644	train-auc:1.00000	eval-logloss:0.18314	eval-auc:0.51319
[94]	train-logloss:0.00634	train-auc:1.00000	eval-logloss:0.18374	eval-auc:0.51198
[95]	train-logloss:0.00619	train-auc:1.00000	eval-logloss:0.18468	eval-auc:0.50915
[96]	train-logloss:0.00614	train-auc:1.00000	eval-logloss:0.18518	eval-auc:0.50915
[97]	train-logloss:0.00597	train-auc:1.00000	eval-logloss:0.18576	eval-auc:0.50896
[98]	train-logloss:0.00582	train-auc:1.00000	eval-logloss:0.18694	eval-auc:0.50672
[99]	train-logloss:0.00569	train-auc:1.00000	eval-logloss:0.18718	eval-auc:0.50771
[100]	train-logloss:0.00555	train-auc:1.00000	eval-logloss:0.18785	eval-auc:0.51003
[101]	train-logloss:0.00545	train-auc:1.00000	eval-logloss:0.18848	eval-auc:0.51013
[102]	train-logloss:0.00533	train-auc:1.00000	eval-logloss:0.18931	eval-auc:0.51010
[103]	train-logloss:0.00523	train-auc:1.00000	eval-logloss:0.18975	eval-auc:0.51092
[104]	train-logloss:0.00509	train-auc:1.00000	eval-logloss:0.19047	eval-auc:0.51126
[105]	train-logloss:0.00499	train-auc:1.00000	eval-logloss:0.19114	eval-auc:0.51028
[106]	train-logloss:0.00495	train-auc:1.00000	eval-logloss:0.19121	eval-auc:0.51026
[107]	train-logloss:0.00485	train-auc:1.00000	eval-logloss:0.19155	eval-auc:0.50955
[108]	train-logloss:0.00472	train-auc:1.00000	eval-logloss:0.19244	eval-auc:0.50973
[109]	train-logloss:0.00463	train-auc:1.00000	eval-logloss:0.19314	eval-auc:0.51116
[110]	train-logloss:0.00453	train-auc:1.00000	eval-logloss:0.19408	eval-auc:0.51130
[111]	train-logloss:0.00444	train-auc:1.00000	eval-logloss:0.19473	eval-auc:0.51048
[112]	train-logloss:0.00436	train-auc:1.00000	eval-logloss:0.19509	eval-auc:0.51135
[113]	train-logloss:0.00429	train-auc:1.00000	eval-logloss:0.19554	eval-auc:0.51114
[114]	train-logloss:0.00418	train-auc:1.00000	eval-logloss:0.19602	eval-auc:0.51091
[115]	train-logloss:0.00413	train-auc:1.00000	eval-logloss:0.19636	eval-auc:0.51231
[116]	train-logloss:0.00406	train-auc:1.00000	eval-logloss:0.19695	eval-auc:0.51124
[117]	train-logloss:0.00395	train-auc:1.00000	eval-logloss:0.19743	eval-auc:0.51223
[118]	train-logloss:0.00386	train-auc:1.00000	eval-logloss:0.19752	eval-auc:0.51280
[119]	train-logloss:0.00380	train-auc:1.00000	eval-logloss:0.19763	eval-auc:0.51334
[120]	train-logloss:0.00374	train-auc:1.00000	eval-logloss:0.19781	eval-auc:0.51404
[121]	train-logloss:0.00367	train-auc:1.00000	eval-logloss:0.19803	eval-auc:0.51711
[122]	train-logloss:0.00360	train-auc:1.00000	eval-logloss:0.19912	eval-auc:0.51824
[123]	train-logloss:0.00356	train-auc:1.00000	eval-logloss:0.19948	eval-auc:0.51978
