No overlap between train and test sets.
[66]	train-logloss:0.01130	train-auc:0.99995	eval-logloss:0.13477	eval-auc:0.64010
[67]	train-logloss:0.01100	train-auc:0.99996	eval-logloss:0.13546	eval-auc:0.63852
[68]	train-logloss:0.01083	train-auc:0.99996	eval-logloss:0.13643	eval-auc:0.63462
[69]	train-logloss:0.01061	train-auc:0.99997	eval-logloss:0.13727	eval-auc:0.63314
[70]	train-logloss:0.01043	train-auc:0.99997	eval-logloss:0.13785	eval-auc:0.63371
[71]	train-logloss:0.01030	train-auc:0.99997	eval-logloss:0.13810	eval-auc:0.63590
[72]	train-logloss:0.01017	train-auc:0.99997	eval-logloss:0.13856	eval-auc:0.63490
[73]	train-logloss:0.01007	train-auc:0.99998	eval-logloss:0.13866	eval-auc:0.63703
[74]	train-logloss:0.00997	train-auc:0.99998	eval-logloss:0.13898	eval-auc:0.63754
[75]	train-logloss:0.00975	train-auc:0.99998	eval-logloss:0.13925	eval-auc:0.63809
[76]	train-logloss:0.00969	train-auc:0.99998	eval-logloss:0.13952	eval-auc:0.63750
[77]	train-logloss:0.00951	train-auc:0.99998	eval-logloss:0.13992	eval-auc:0.63640
[78]	train-logloss:0.00927	train-auc:0.99998	eval-logloss:0.14029	eval-auc:0.63786
[79]	train-logloss:0.00914	train-auc:0.99999	eval-logloss:0.14008	eval-auc:0.64037
[80]	train-logloss:0.00900	train-auc:0.99999	eval-logloss:0.14013	eval-auc:0.64085
[81]	train-logloss:0.00879	train-auc:0.99999	eval-logloss:0.14064	eval-auc:0.64154
[82]	train-logloss:0.00858	train-auc:0.99999	eval-logloss:0.14078	eval-auc:0.64171
[83]	train-logloss:0.00837	train-auc:0.99999	eval-logloss:0.14142	eval-auc:0.64061
[84]	train-logloss:0.00825	train-auc:0.99999	eval-logloss:0.14150	eval-auc:0.64102
[85]	train-logloss:0.00808	train-auc:0.99999	eval-logloss:0.14204	eval-auc:0.64077
[86]	train-logloss:0.00800	train-auc:0.99999	eval-logloss:0.14224	eval-auc:0.64091
[87]	train-logloss:0.00772	train-auc:0.99999	eval-logloss:0.14297	eval-auc:0.64050
[88]	train-logloss:0.00759	train-auc:0.99999	eval-logloss:0.14300	eval-auc:0.64178
[89]	train-logloss:0.00743	train-auc:0.99999	eval-logloss:0.14339	eval-auc:0.64303
[90]	train-logloss:0.00737	train-auc:0.99999	eval-logloss:0.14399	eval-auc:0.64256
[91]	train-logloss:0.00724	train-auc:0.99999	eval-logloss:0.14461	eval-auc:0.64241
[92]	train-logloss:0.00702	train-auc:1.00000	eval-logloss:0.14536	eval-auc:0.64155
[93]	train-logloss:0.00696	train-auc:1.00000	eval-logloss:0.14586	eval-auc:0.64049
[94]	train-logloss:0.00682	train-auc:1.00000	eval-logloss:0.14647	eval-auc:0.63868
[95]	train-logloss:0.00673	train-auc:1.00000	eval-logloss:0.14658	eval-auc:0.63914
[96]	train-logloss:0.00662	train-auc:1.00000	eval-logloss:0.14684	eval-auc:0.64082
[97]	train-logloss:0.00649	train-auc:1.00000	eval-logloss:0.14719	eval-auc:0.64117
[98]	train-logloss:0.00645	train-auc:1.00000	eval-logloss:0.14734	eval-auc:0.64106
[99]	train-logloss:0.00632	train-auc:1.00000	eval-logloss:0.14807	eval-auc:0.63998
[100]	train-logloss:0.00622	train-auc:1.00000	eval-logloss:0.14841	eval-auc:0.63965
[101]	train-logloss:0.00619	train-auc:1.00000	eval-logloss:0.14857	eval-auc:0.63966
[102]	train-logloss:0.00607	train-auc:1.00000	eval-logloss:0.14889	eval-auc:0.64041
[103]	train-logloss:0.00600	train-auc:1.00000	eval-logloss:0.14933	eval-auc:0.64095
[104]	train-logloss:0.00585	train-auc:1.00000	eval-logloss:0.14955	eval-auc:0.64192
[105]	train-logloss:0.00576	train-auc:1.00000	eval-logloss:0.15018	eval-auc:0.64076
[106]	train-logloss:0.00567	train-auc:1.00000	eval-logloss:0.15060	eval-auc:0.63869
[107]	train-logloss:0.00556	train-auc:1.00000	eval-logloss:0.15109	eval-auc:0.63912
[108]	train-logloss:0.00546	train-auc:1.00000	eval-logloss:0.15134	eval-auc:0.64034
[109]	train-logloss:0.00537	train-auc:1.00000	eval-logloss:0.15180	eval-auc:0.63800
[110]	train-logloss:0.00534	train-auc:1.00000	eval-logloss:0.15204	eval-auc:0.63851
[111]	train-logloss:0.00529	train-auc:1.00000	eval-logloss:0.15243	eval-auc:0.63813
[112]	train-logloss:0.00519	train-auc:1.00000	eval-logloss:0.15288	eval-auc:0.63862
[113]	train-logloss:0.00508	train-auc:1.00000	eval-logloss:0.15364	eval-auc:0.63738
[114]	train-logloss:0.00504	train-auc:1.00000	eval-logloss:0.15394	eval-auc:0.63708
[115]	train-logloss:0.00495	train-auc:1.00000	eval-logloss:0.15450	eval-auc:0.63686
[116]	train-logloss:0.00488	train-auc:1.00000	eval-logloss:0.15466	eval-auc:0.63682
[117]	train-logloss:0.00484	train-auc:1.00000	eval-logloss:0.15530	eval-auc:0.63549
[118]	train-logloss:0.00480	train-auc:1.00000	eval-logloss:0.15537	eval-auc:0.63649
[119]	train-logloss:0.00474	train-auc:1.00000	eval-logloss:0.15594	eval-auc:0.63685
[120]	train-logloss:0.00471	train-auc:1.00000	eval-logloss:0.15607	eval-auc:0.63729
[121]	train-logloss:0.00469	train-auc:1.00000	eval-logloss:0.15655	eval-auc:0.63559
[122]	train-logloss:0.00456	train-auc:1.00000	eval-logloss:0.15737	eval-auc:0.63504
[123]	train-logloss:0.00449	train-auc:1.00000	eval-logloss:0.15775	eval-auc:0.63495
[124]	train-logloss:0.00439	train-auc:1.00000	eval-logloss:0.15856	eval-auc:0.63254
[125]	train-logloss:0.00431	train-auc:1.00000	eval-logloss:0.15849	eval-auc:0.63452
[126]	train-logloss:0.00423	train-auc:1.00000	eval-logloss:0.15934	eval-auc:0.63281
[127]	train-logloss:0.00418	train-auc:1.00000	eval-logloss:0.15989	eval-auc:0.63194
[128]	train-logloss:0.00412	train-auc:1.00000	eval-logloss:0.16036	eval-auc:0.63080
[129]	train-logloss:0.00402	train-auc:1.00000	eval-logloss:0.16080	eval-auc:0.62931
[130]	train-logloss:0.00391	train-auc:1.00000	eval-logloss:0.16158	eval-auc:0.62724
[131]	train-logloss:0.00383	train-auc:1.00000	eval-logloss:0.16191	eval-auc:0.62688
[132]	train-logloss:0.00377	train-auc:1.00000	eval-logloss:0.16228	eval-auc:0.62708
[133]	train-logloss:0.00369	train-auc:1.00000	eval-logloss:0.16259	eval-auc:0.62899
[134]	train-logloss:0.00365	train-auc:1.00000	eval-logloss:0.16385	eval-auc:0.62741
[135]	train-logloss:0.00363	train-auc:1.00000	eval-logloss:0.16402	eval-auc:0.62747
[136]	train-logloss:0.00361	train-auc:1.00000	eval-logloss:0.16425	eval-auc:0.62756
[137]	train-logloss:0.00358	train-auc:1.00000	eval-logloss:0.16462	eval-auc:0.62705
[138]	train-logloss:0.00355	train-auc:1.00000	eval-logloss:0.16492	eval-auc:0.62658
[139]	train-logloss:0.00351	train-auc:1.00000	eval-logloss:0.16520	eval-auc:0.62756
[140]	train-logloss:0.00349	train-auc:1.00000	eval-logloss:0.16527	eval-auc:0.62814
[141]	train-logloss:0.00346	train-auc:1.00000	eval-logloss:0.16559	eval-auc:0.62771
[142]	train-logloss:0.00344	train-auc:1.00000	eval-logloss:0.16568	eval-auc:0.62786
[143]	train-logloss:0.00341	train-auc:1.00000	eval-logloss:0.16581	eval-auc:0.62782
[144]	train-logloss:0.00338	train-auc:1.00000	eval-logloss:0.16642	eval-auc:0.62699
[145]	train-logloss:0.00335	train-auc:1.00000	eval-logloss:0.16657	eval-auc:0.62716
[146]	train-logloss:0.00333	train-auc:1.00000	eval-logloss:0.16678	eval-auc:0.62745
[147]	train-logloss:0.00332	train-auc:1.00000	eval-logloss:0.16689	eval-auc:0.62783
[148]	train-logloss:0.00331	train-auc:1.00000	eval-logloss:0.16687	eval-auc:0.62848
[149]	train-logloss:0.00326	train-auc:1.00000	eval-logloss:0.16721	eval-auc:0.62746
[150]	train-logloss:0.00321	train-auc:1.00000	eval-logloss:0.16743	eval-auc:0.62781
[151]	train-logloss:0.00317	train-auc:1.00000	eval-logloss:0.16776	eval-auc:0.62825
[152]	train-logloss:0.00314	train-auc:1.00000	eval-logloss:0.16811	eval-auc:0.62835
[153]	train-logloss:0.00310	train-auc:1.00000	eval-logloss:0.16824	eval-auc:0.62891
[154]	train-logloss:0.00308	train-auc:1.00000	eval-logloss:0.16834	eval-auc:0.62897
[155]	train-logloss:0.00306	train-auc:1.00000	eval-logloss:0.16850	eval-auc:0.62916
[156]	train-logloss:0.00300	train-auc:1.00000	eval-logloss:0.16850	eval-auc:0.62998
[157]	train-logloss:0.00297	train-auc:1.00000	eval-logloss:0.16878	eval-auc:0.62954
[158]	train-logloss:0.00292	train-auc:1.00000	eval-logloss:0.16916	eval-auc:0.62915
[159]	train-logloss:0.00289	train-auc:1.00000	eval-logloss:0.16959	eval-auc:0.62892
[160]	train-logloss:0.00286	train-auc:1.00000	eval-logloss:0.16965	eval-auc:0.63020
[161]	train-logloss:0.00283	train-auc:1.00000	eval-logloss:0.16978	eval-auc:0.63023
[162]	train-logloss:0.00282	train-auc:1.00000	eval-logloss:0.16984	eval-auc:0.63001
[163]	train-logloss:0.00279	train-auc:1.00000	eval-logloss:0.17018	eval-auc:0.63056
[164]	train-logloss:0.00276	train-auc:1.00000	eval-logloss:0.17046	eval-auc:0.63104
[165]	train-logloss:0.00272	train-auc:1.00000	eval-logloss:0.17071	eval-auc:0.63034
[166]	train-logloss:0.00270	train-auc:1.00000	eval-logloss:0.17076	eval-auc:0.63018
[167]	train-logloss:0.00267	train-auc:1.00000	eval-logloss:0.17098	eval-auc:0.63102
[168]	train-logloss:0.00262	train-auc:1.00000	eval-logloss:0.17186	eval-auc:0.62924
[169]	train-logloss:0.00259	train-auc:1.00000	eval-logloss:0.17214	eval-auc:0.63029
[170]	train-logloss:0.00255	train-auc:1.00000	eval-logloss:0.17281	eval-auc:0.63037
[171]	train-logloss:0.00253	train-auc:1.00000	eval-logloss:0.17322	eval-auc:0.63081
[172]	train-logloss:0.00247	train-auc:1.00000	eval-logloss:0.17416	eval-auc:0.62812
[173]	train-logloss:0.00243	train-auc:1.00000	eval-logloss:0.17439	eval-auc:0.62746
[174]	train-logloss:0.00241	train-auc:1.00000	eval-logloss:0.17435	eval-auc:0.62790
[175]	train-logloss:0.00238	train-auc:1.00000	eval-logloss:0.17458	eval-auc:0.62961
[176]	train-logloss:0.00237	train-auc:1.00000	eval-logloss:0.17482	eval-auc:0.62896
[177]	train-logloss:0.00235	train-auc:1.00000	eval-logloss:0.17487	eval-auc:0.63018
[178]	train-logloss:0.00232	train-auc:1.00000	eval-logloss:0.17517	eval-auc:0.62915
[179]	train-logloss:0.00229	train-auc:1.00000	eval-logloss:0.17572	eval-auc:0.62913
[180]	train-logloss:0.00227	train-auc:1.00000	eval-logloss:0.17593	eval-auc:0.62924
[181]	train-logloss:0.00225	train-auc:1.00000	eval-logloss:0.17634	eval-auc:0.62936
[182]	train-logloss:0.00222	train-auc:1.00000	eval-logloss:0.17655	eval-auc:0.62992
[183]	train-logloss:0.00220	train-auc:1.00000	eval-logloss:0.17673	eval-auc:0.63025
[184]	train-logloss:0.00218	train-auc:1.00000	eval-logloss:0.17703	eval-auc:0.63003
[185]	train-logloss:0.00216	train-auc:1.00000	eval-logloss:0.17748	eval-auc:0.62915
[186]	train-logloss:0.00213	train-auc:1.00000	eval-logloss:0.17760	eval-auc:0.62970
[187]	train-logloss:0.00211	train-auc:1.00000	eval-logloss:0.17785	eval-auc:0.62976
[188]	train-logloss:0.00209	train-auc:1.00000	eval-logloss:0.17788	eval-auc:0.63022
[189]	train-logloss:0.00208	train-auc:1.00000	eval-logloss:0.17816	eval-auc:0.62945
[190]	train-logloss:0.00206	train-auc:1.00000	eval-logloss:0.17841	eval-auc:0.62908
[191]	train-logloss:0.00204	train-auc:1.00000	eval-logloss:0.17870	eval-auc:0.62880
[192]	train-logloss:0.00201	train-auc:1.00000	eval-logloss:0.17957	eval-auc:0.62843
[193]	train-logloss:0.00199	train-auc:1.00000	eval-logloss:0.17991	eval-auc:0.62805
[194]	train-logloss:0.00198	train-auc:1.00000	eval-logloss:0.18015	eval-auc:0.62759
[195]	train-logloss:0.00197	train-auc:1.00000	eval-logloss:0.18043	eval-auc:0.62719
[196]	train-logloss:0.00194	train-auc:1.00000	eval-logloss:0.18130	eval-auc:0.62571
[197]	train-logloss:0.00192	train-auc:1.00000	eval-logloss:0.18144	eval-auc:0.62546
[198]	train-logloss:0.00191	train-auc:1.00000	eval-logloss:0.18176	eval-auc:0.62550
[199]	train-logloss:0.00189	train-auc:1.00000	eval-logloss:0.18186	eval-auc:0.62531
Confusion Matrix:
[[12547     1]
 [  281    47]]
Saved predictions to: /mnt/d/DETECT/OUTPUT/xg_boost/xgboost_predictions_mean_20250513_162842.csv
