No overlap between train and test sets.
[66]	train-logloss:0.01207	train-auc:0.99987	eval-logloss:0.14545	eval-auc:0.59271
[67]	train-logloss:0.01174	train-auc:0.99991	eval-logloss:0.14520	eval-auc:0.59536
[68]	train-logloss:0.01154	train-auc:0.99991	eval-logloss:0.14603	eval-auc:0.59351
[69]	train-logloss:0.01140	train-auc:0.99991	eval-logloss:0.14623	eval-auc:0.59277
[70]	train-logloss:0.01130	train-auc:0.99992	eval-logloss:0.14630	eval-auc:0.59586
[71]	train-logloss:0.01118	train-auc:0.99992	eval-logloss:0.14666	eval-auc:0.59523
[72]	train-logloss:0.01109	train-auc:0.99992	eval-logloss:0.14673	eval-auc:0.59587
[73]	train-logloss:0.01095	train-auc:0.99992	eval-logloss:0.14721	eval-auc:0.59496
[74]	train-logloss:0.01080	train-auc:0.99992	eval-logloss:0.14765	eval-auc:0.59275
[75]	train-logloss:0.01060	train-auc:0.99994	eval-logloss:0.14781	eval-auc:0.59331
[76]	train-logloss:0.01044	train-auc:0.99994	eval-logloss:0.14841	eval-auc:0.59217
[77]	train-logloss:0.01017	train-auc:0.99995	eval-logloss:0.14899	eval-auc:0.59247
[78]	train-logloss:0.00983	train-auc:0.99996	eval-logloss:0.14933	eval-auc:0.59170
[79]	train-logloss:0.00957	train-auc:0.99997	eval-logloss:0.14976	eval-auc:0.59083
[80]	train-logloss:0.00948	train-auc:0.99997	eval-logloss:0.15015	eval-auc:0.59066
[81]	train-logloss:0.00928	train-auc:0.99997	eval-logloss:0.15070	eval-auc:0.59166
[82]	train-logloss:0.00911	train-auc:0.99998	eval-logloss:0.15074	eval-auc:0.59246
[83]	train-logloss:0.00900	train-auc:0.99998	eval-logloss:0.15152	eval-auc:0.58901
[84]	train-logloss:0.00889	train-auc:0.99998	eval-logloss:0.15194	eval-auc:0.58961
[85]	train-logloss:0.00867	train-auc:0.99998	eval-logloss:0.15254	eval-auc:0.59015
[86]	train-logloss:0.00856	train-auc:0.99998	eval-logloss:0.15282	eval-auc:0.59008
[87]	train-logloss:0.00847	train-auc:0.99998	eval-logloss:0.15274	eval-auc:0.59315
[88]	train-logloss:0.00823	train-auc:0.99999	eval-logloss:0.15350	eval-auc:0.59355
[89]	train-logloss:0.00812	train-auc:0.99999	eval-logloss:0.15361	eval-auc:0.59399
[90]	train-logloss:0.00789	train-auc:0.99999	eval-logloss:0.15383	eval-auc:0.59599
[91]	train-logloss:0.00771	train-auc:0.99999	eval-logloss:0.15395	eval-auc:0.59692
[92]	train-logloss:0.00761	train-auc:0.99999	eval-logloss:0.15435	eval-auc:0.59671
[93]	train-logloss:0.00753	train-auc:0.99999	eval-logloss:0.15477	eval-auc:0.59520
[94]	train-logloss:0.00748	train-auc:0.99999	eval-logloss:0.15515	eval-auc:0.59474
[95]	train-logloss:0.00740	train-auc:0.99999	eval-logloss:0.15540	eval-auc:0.59447
[96]	train-logloss:0.00726	train-auc:0.99999	eval-logloss:0.15552	eval-auc:0.59686
[97]	train-logloss:0.00721	train-auc:0.99999	eval-logloss:0.15584	eval-auc:0.59605
[98]	train-logloss:0.00707	train-auc:0.99999	eval-logloss:0.15633	eval-auc:0.59646
[99]	train-logloss:0.00686	train-auc:1.00000	eval-logloss:0.15670	eval-auc:0.59719
[100]	train-logloss:0.00672	train-auc:1.00000	eval-logloss:0.15704	eval-auc:0.59758
[101]	train-logloss:0.00661	train-auc:1.00000	eval-logloss:0.15755	eval-auc:0.59621
[102]	train-logloss:0.00655	train-auc:1.00000	eval-logloss:0.15786	eval-auc:0.59574
[103]	train-logloss:0.00640	train-auc:1.00000	eval-logloss:0.15822	eval-auc:0.59485
