No overlap between train and test sets.
[66]	train-logloss:0.01195	train-auc:1.00000	eval-logloss:0.15763	eval-auc:0.55834
[67]	train-logloss:0.01153	train-auc:1.00000	eval-logloss:0.15872	eval-auc:0.55844
[68]	train-logloss:0.01128	train-auc:1.00000	eval-logloss:0.15870	eval-auc:0.56009
[69]	train-logloss:0.01090	train-auc:1.00000	eval-logloss:0.15918	eval-auc:0.56208
[70]	train-logloss:0.01062	train-auc:1.00000	eval-logloss:0.15981	eval-auc:0.56048
[71]	train-logloss:0.01039	train-auc:1.00000	eval-logloss:0.16025	eval-auc:0.55846
[72]	train-logloss:0.01017	train-auc:1.00000	eval-logloss:0.16050	eval-auc:0.55804
[73]	train-logloss:0.01003	train-auc:1.00000	eval-logloss:0.16079	eval-auc:0.55779
[74]	train-logloss:0.00979	train-auc:1.00000	eval-logloss:0.16115	eval-auc:0.55947
[75]	train-logloss:0.00955	train-auc:1.00000	eval-logloss:0.16212	eval-auc:0.55821
[76]	train-logloss:0.00947	train-auc:1.00000	eval-logloss:0.16235	eval-auc:0.55798
[77]	train-logloss:0.00939	train-auc:1.00000	eval-logloss:0.16244	eval-auc:0.55810
[78]	train-logloss:0.00920	train-auc:1.00000	eval-logloss:0.16303	eval-auc:0.55850
[79]	train-logloss:0.00907	train-auc:1.00000	eval-logloss:0.16330	eval-auc:0.55905
[80]	train-logloss:0.00893	train-auc:1.00000	eval-logloss:0.16327	eval-auc:0.56111
[81]	train-logloss:0.00865	train-auc:1.00000	eval-logloss:0.16376	eval-auc:0.56118
[82]	train-logloss:0.00849	train-auc:1.00000	eval-logloss:0.16344	eval-auc:0.56203
[83]	train-logloss:0.00837	train-auc:1.00000	eval-logloss:0.16387	eval-auc:0.56064
[84]	train-logloss:0.00821	train-auc:1.00000	eval-logloss:0.16473	eval-auc:0.56050
[85]	train-logloss:0.00798	train-auc:1.00000	eval-logloss:0.16605	eval-auc:0.56110
[86]	train-logloss:0.00773	train-auc:1.00000	eval-logloss:0.16679	eval-auc:0.55888
[87]	train-logloss:0.00755	train-auc:1.00000	eval-logloss:0.16709	eval-auc:0.55779
[88]	train-logloss:0.00744	train-auc:1.00000	eval-logloss:0.16737	eval-auc:0.55786
[89]	train-logloss:0.00736	train-auc:1.00000	eval-logloss:0.16755	eval-auc:0.55714
[90]	train-logloss:0.00706	train-auc:1.00000	eval-logloss:0.16843	eval-auc:0.55629
[91]	train-logloss:0.00692	train-auc:1.00000	eval-logloss:0.16843	eval-auc:0.55810
[92]	train-logloss:0.00678	train-auc:1.00000	eval-logloss:0.16873	eval-auc:0.55941
[93]	train-logloss:0.00658	train-auc:1.00000	eval-logloss:0.16904	eval-auc:0.56025
[94]	train-logloss:0.00644	train-auc:1.00000	eval-logloss:0.16932	eval-auc:0.55968
[95]	train-logloss:0.00633	train-auc:1.00000	eval-logloss:0.16957	eval-auc:0.55981
[96]	train-logloss:0.00617	train-auc:1.00000	eval-logloss:0.17010	eval-auc:0.56017
[97]	train-logloss:0.00614	train-auc:1.00000	eval-logloss:0.17027	eval-auc:0.56114
[98]	train-logloss:0.00598	train-auc:1.00000	eval-logloss:0.17077	eval-auc:0.55972
[99]	train-logloss:0.00589	train-auc:1.00000	eval-logloss:0.17103	eval-auc:0.55956
[100]	train-logloss:0.00586	train-auc:1.00000	eval-logloss:0.17122	eval-auc:0.55927
[101]	train-logloss:0.00579	train-auc:1.00000	eval-logloss:0.17121	eval-auc:0.56045
[102]	train-logloss:0.00562	train-auc:1.00000	eval-logloss:0.17158	eval-auc:0.56304
[103]	train-logloss:0.00551	train-auc:1.00000	eval-logloss:0.17192	eval-auc:0.56336
[104]	train-logloss:0.00548	train-auc:1.00000	eval-logloss:0.17191	eval-auc:0.56409
[105]	train-logloss:0.00540	train-auc:1.00000	eval-logloss:0.17222	eval-auc:0.56384
[106]	train-logloss:0.00531	train-auc:1.00000	eval-logloss:0.17284	eval-auc:0.56388
