No overlap between train and test sets.
[66]	train-logloss:0.00953	train-auc:0.99996	eval-logloss:0.14926	eval-auc:0.56381
[67]	train-logloss:0.00948	train-auc:0.99996	eval-logloss:0.14951	eval-auc:0.56246
[68]	train-logloss:0.00923	train-auc:0.99996	eval-logloss:0.15019	eval-auc:0.55968
[69]	train-logloss:0.00893	train-auc:0.99996	eval-logloss:0.15109	eval-auc:0.55873
[70]	train-logloss:0.00871	train-auc:0.99997	eval-logloss:0.15130	eval-auc:0.55990
[71]	train-logloss:0.00864	train-auc:0.99997	eval-logloss:0.15203	eval-auc:0.55870
[72]	train-logloss:0.00835	train-auc:0.99997	eval-logloss:0.15286	eval-auc:0.55750
[73]	train-logloss:0.00822	train-auc:0.99997	eval-logloss:0.15302	eval-auc:0.55856
[74]	train-logloss:0.00814	train-auc:0.99997	eval-logloss:0.15309	eval-auc:0.55963
[75]	train-logloss:0.00808	train-auc:0.99998	eval-logloss:0.15313	eval-auc:0.56190
[76]	train-logloss:0.00798	train-auc:0.99998	eval-logloss:0.15336	eval-auc:0.56192
[77]	train-logloss:0.00782	train-auc:0.99998	eval-logloss:0.15362	eval-auc:0.56350
[78]	train-logloss:0.00751	train-auc:0.99998	eval-logloss:0.15425	eval-auc:0.56503
[79]	train-logloss:0.00734	train-auc:0.99998	eval-logloss:0.15509	eval-auc:0.56517
[80]	train-logloss:0.00729	train-auc:0.99999	eval-logloss:0.15527	eval-auc:0.56737
[81]	train-logloss:0.00718	train-auc:0.99999	eval-logloss:0.15566	eval-auc:0.56945
[82]	train-logloss:0.00713	train-auc:0.99999	eval-logloss:0.15600	eval-auc:0.56868
[83]	train-logloss:0.00696	train-auc:0.99999	eval-logloss:0.15690	eval-auc:0.56709
[84]	train-logloss:0.00683	train-auc:0.99999	eval-logloss:0.15714	eval-auc:0.56636
[85]	train-logloss:0.00664	train-auc:0.99999	eval-logloss:0.15820	eval-auc:0.56386
[86]	train-logloss:0.00648	train-auc:0.99999	eval-logloss:0.15824	eval-auc:0.56588
[87]	train-logloss:0.00641	train-auc:0.99999	eval-logloss:0.15864	eval-auc:0.56786
[88]	train-logloss:0.00627	train-auc:0.99999	eval-logloss:0.15979	eval-auc:0.56472
[89]	train-logloss:0.00618	train-auc:0.99999	eval-logloss:0.16015	eval-auc:0.56476
[90]	train-logloss:0.00607	train-auc:0.99999	eval-logloss:0.16092	eval-auc:0.56354
[91]	train-logloss:0.00593	train-auc:0.99999	eval-logloss:0.16186	eval-auc:0.56433
[92]	train-logloss:0.00584	train-auc:0.99999	eval-logloss:0.16196	eval-auc:0.56688
[93]	train-logloss:0.00570	train-auc:0.99999	eval-logloss:0.16279	eval-auc:0.56725
[94]	train-logloss:0.00554	train-auc:0.99999	eval-logloss:0.16349	eval-auc:0.56492
[95]	train-logloss:0.00530	train-auc:0.99999	eval-logloss:0.16411	eval-auc:0.56717
[96]	train-logloss:0.00517	train-auc:1.00000	eval-logloss:0.16542	eval-auc:0.56555
[97]	train-logloss:0.00514	train-auc:1.00000	eval-logloss:0.16592	eval-auc:0.56509
[98]	train-logloss:0.00498	train-auc:1.00000	eval-logloss:0.16659	eval-auc:0.56516
[99]	train-logloss:0.00491	train-auc:1.00000	eval-logloss:0.16726	eval-auc:0.56370
[100]	train-logloss:0.00482	train-auc:1.00000	eval-logloss:0.16797	eval-auc:0.56303
[101]	train-logloss:0.00479	train-auc:1.00000	eval-logloss:0.16830	eval-auc:0.56234
[102]	train-logloss:0.00472	train-auc:1.00000	eval-logloss:0.16877	eval-auc:0.56291
[103]	train-logloss:0.00455	train-auc:1.00000	eval-logloss:0.16943	eval-auc:0.56246
[104]	train-logloss:0.00445	train-auc:1.00000	eval-logloss:0.16956	eval-auc:0.56474
[105]	train-logloss:0.00440	train-auc:1.00000	eval-logloss:0.16961	eval-auc:0.56505
[106]	train-logloss:0.00432	train-auc:1.00000	eval-logloss:0.16998	eval-auc:0.56491
[107]	train-logloss:0.00429	train-auc:1.00000	eval-logloss:0.17009	eval-auc:0.56485
[108]	train-logloss:0.00426	train-auc:1.00000	eval-logloss:0.17035	eval-auc:0.56471
[109]	train-logloss:0.00417	train-auc:1.00000	eval-logloss:0.17059	eval-auc:0.56488
[110]	train-logloss:0.00411	train-auc:1.00000	eval-logloss:0.17110	eval-auc:0.56420
[111]	train-logloss:0.00406	train-auc:1.00000	eval-logloss:0.17165	eval-auc:0.56317
[112]	train-logloss:0.00401	train-auc:1.00000	eval-logloss:0.17216	eval-auc:0.56272
[113]	train-logloss:0.00398	train-auc:1.00000	eval-logloss:0.17226	eval-auc:0.56270
[114]	train-logloss:0.00389	train-auc:1.00000	eval-logloss:0.17266	eval-auc:0.56323
[115]	train-logloss:0.00387	train-auc:1.00000	eval-logloss:0.17262	eval-auc:0.56436
[116]	train-logloss:0.00384	train-auc:1.00000	eval-logloss:0.17264	eval-auc:0.56478
[117]	train-logloss:0.00377	train-auc:1.00000	eval-logloss:0.17294	eval-auc:0.56641
[118]	train-logloss:0.00371	train-auc:1.00000	eval-logloss:0.17318	eval-auc:0.56648
[119]	train-logloss:0.00365	train-auc:1.00000	eval-logloss:0.17385	eval-auc:0.56591
[120]	train-logloss:0.00361	train-auc:1.00000	eval-logloss:0.17438	eval-auc:0.56576
[121]	train-logloss:0.00355	train-auc:1.00000	eval-logloss:0.17449	eval-auc:0.56546
[122]	train-logloss:0.00353	train-auc:1.00000	eval-logloss:0.17471	eval-auc:0.56593
[123]	train-logloss:0.00346	train-auc:1.00000	eval-logloss:0.17548	eval-auc:0.56427
[124]	train-logloss:0.00341	train-auc:1.00000	eval-logloss:0.17559	eval-auc:0.56539
[125]	train-logloss:0.00332	train-auc:1.00000	eval-logloss:0.17676	eval-auc:0.56426
[126]	train-logloss:0.00330	train-auc:1.00000	eval-logloss:0.17681	eval-auc:0.56445
[127]	train-logloss:0.00325	train-auc:1.00000	eval-logloss:0.17699	eval-auc:0.56522
[128]	train-logloss:0.00321	train-auc:1.00000	eval-logloss:0.17728	eval-auc:0.56465
[129]	train-logloss:0.00318	train-auc:1.00000	eval-logloss:0.17764	eval-auc:0.56480
[130]	train-logloss:0.00314	train-auc:1.00000	eval-logloss:0.17882	eval-auc:0.56260
[131]	train-logloss:0.00307	train-auc:1.00000	eval-logloss:0.17926	eval-auc:0.56290
[132]	train-logloss:0.00304	train-auc:1.00000	eval-logloss:0.17954	eval-auc:0.56237
[133]	train-logloss:0.00300	train-auc:1.00000	eval-logloss:0.17970	eval-auc:0.56341
[134]	train-logloss:0.00295	train-auc:1.00000	eval-logloss:0.17981	eval-auc:0.56318
[135]	train-logloss:0.00291	train-auc:1.00000	eval-logloss:0.18034	eval-auc:0.56249
[136]	train-logloss:0.00288	train-auc:1.00000	eval-logloss:0.18042	eval-auc:0.56318
[137]	train-logloss:0.00284	train-auc:1.00000	eval-logloss:0.18068	eval-auc:0.56321
[138]	train-logloss:0.00280	train-auc:1.00000	eval-logloss:0.18103	eval-auc:0.56312
[139]	train-logloss:0.00276	train-auc:1.00000	eval-logloss:0.18116	eval-auc:0.56389
[140]	train-logloss:0.00273	train-auc:1.00000	eval-logloss:0.18168	eval-auc:0.56346
[141]	train-logloss:0.00270	train-auc:1.00000	eval-logloss:0.18211	eval-auc:0.56315
[142]	train-logloss:0.00267	train-auc:1.00000	eval-logloss:0.18226	eval-auc:0.56359
[143]	train-logloss:0.00262	train-auc:1.00000	eval-logloss:0.18245	eval-auc:0.56488
[144]	train-logloss:0.00261	train-auc:1.00000	eval-logloss:0.18273	eval-auc:0.56475
