No overlap between train and test sets.
[66]	train-logloss:0.01160	train-auc:0.99985	eval-logloss:0.14564	eval-auc:0.59368
[67]	train-logloss:0.01142	train-auc:0.99985	eval-logloss:0.14608	eval-auc:0.59504
[68]	train-logloss:0.01113	train-auc:0.99985	eval-logloss:0.14734	eval-auc:0.59487
[69]	train-logloss:0.01095	train-auc:0.99987	eval-logloss:0.14833	eval-auc:0.59176
[70]	train-logloss:0.01066	train-auc:0.99988	eval-logloss:0.14881	eval-auc:0.59016
[71]	train-logloss:0.01019	train-auc:0.99991	eval-logloss:0.14947	eval-auc:0.59162
[72]	train-logloss:0.00996	train-auc:0.99991	eval-logloss:0.15007	eval-auc:0.59144
[73]	train-logloss:0.00966	train-auc:0.99993	eval-logloss:0.15014	eval-auc:0.59280
[74]	train-logloss:0.00925	train-auc:0.99995	eval-logloss:0.15043	eval-auc:0.59281
[75]	train-logloss:0.00913	train-auc:0.99995	eval-logloss:0.15096	eval-auc:0.59192
[76]	train-logloss:0.00900	train-auc:0.99996	eval-logloss:0.15116	eval-auc:0.59261
[77]	train-logloss:0.00882	train-auc:0.99996	eval-logloss:0.15141	eval-auc:0.59264
[78]	train-logloss:0.00871	train-auc:0.99996	eval-logloss:0.15181	eval-auc:0.59290
[79]	train-logloss:0.00854	train-auc:0.99997	eval-logloss:0.15230	eval-auc:0.59366
[80]	train-logloss:0.00839	train-auc:0.99997	eval-logloss:0.15296	eval-auc:0.59422
[81]	train-logloss:0.00813	train-auc:0.99997	eval-logloss:0.15321	eval-auc:0.59508
[82]	train-logloss:0.00798	train-auc:0.99997	eval-logloss:0.15393	eval-auc:0.59430
[83]	train-logloss:0.00777	train-auc:0.99998	eval-logloss:0.15421	eval-auc:0.59627
[84]	train-logloss:0.00759	train-auc:0.99998	eval-logloss:0.15482	eval-auc:0.59606
[85]	train-logloss:0.00738	train-auc:0.99999	eval-logloss:0.15489	eval-auc:0.59724
[86]	train-logloss:0.00721	train-auc:0.99999	eval-logloss:0.15536	eval-auc:0.59753
[87]	train-logloss:0.00706	train-auc:0.99999	eval-logloss:0.15576	eval-auc:0.59816
[88]	train-logloss:0.00683	train-auc:0.99999	eval-logloss:0.15670	eval-auc:0.59739
[89]	train-logloss:0.00662	train-auc:0.99999	eval-logloss:0.15742	eval-auc:0.59856
