No overlap between train and test sets.
[66]	train-logloss:0.01454	train-auc:0.99941	eval-logloss:0.14177	eval-auc:0.60978
[67]	train-logloss:0.01430	train-auc:0.99947	eval-logloss:0.14227	eval-auc:0.60810
[68]	train-logloss:0.01409	train-auc:0.99949	eval-logloss:0.14317	eval-auc:0.60588
[69]	train-logloss:0.01387	train-auc:0.99951	eval-logloss:0.14317	eval-auc:0.60669
[70]	train-logloss:0.01368	train-auc:0.99953	eval-logloss:0.14340	eval-auc:0.60839
[71]	train-logloss:0.01343	train-auc:0.99958	eval-logloss:0.14419	eval-auc:0.60790
[72]	train-logloss:0.01312	train-auc:0.99963	eval-logloss:0.14501	eval-auc:0.60716
[73]	train-logloss:0.01263	train-auc:0.99964	eval-logloss:0.14525	eval-auc:0.60983
[74]	train-logloss:0.01243	train-auc:0.99966	eval-logloss:0.14513	eval-auc:0.61060
[75]	train-logloss:0.01229	train-auc:0.99967	eval-logloss:0.14532	eval-auc:0.61013
[76]	train-logloss:0.01211	train-auc:0.99969	eval-logloss:0.14630	eval-auc:0.60653
[77]	train-logloss:0.01173	train-auc:0.99977	eval-logloss:0.14688	eval-auc:0.60824
[78]	train-logloss:0.01150	train-auc:0.99980	eval-logloss:0.14737	eval-auc:0.60985
[79]	train-logloss:0.01117	train-auc:0.99983	eval-logloss:0.14821	eval-auc:0.60955
[80]	train-logloss:0.01097	train-auc:0.99983	eval-logloss:0.14923	eval-auc:0.60699
[81]	train-logloss:0.01071	train-auc:0.99986	eval-logloss:0.14955	eval-auc:0.60680
[82]	train-logloss:0.01059	train-auc:0.99987	eval-logloss:0.14978	eval-auc:0.60757
[83]	train-logloss:0.01048	train-auc:0.99988	eval-logloss:0.14991	eval-auc:0.60818
[84]	train-logloss:0.01026	train-auc:0.99988	eval-logloss:0.15035	eval-auc:0.60944
[85]	train-logloss:0.00992	train-auc:0.99992	eval-logloss:0.15040	eval-auc:0.60967
[86]	train-logloss:0.00980	train-auc:0.99992	eval-logloss:0.15078	eval-auc:0.60923
[87]	train-logloss:0.00944	train-auc:0.99993	eval-logloss:0.15219	eval-auc:0.60751
[88]	train-logloss:0.00922	train-auc:0.99994	eval-logloss:0.15218	eval-auc:0.60923
[89]	train-logloss:0.00902	train-auc:0.99995	eval-logloss:0.15220	eval-auc:0.61111
[90]	train-logloss:0.00893	train-auc:0.99995	eval-logloss:0.15257	eval-auc:0.61114
[91]	train-logloss:0.00877	train-auc:0.99995	eval-logloss:0.15319	eval-auc:0.60976
[92]	train-logloss:0.00867	train-auc:0.99995	eval-logloss:0.15334	eval-auc:0.61184
[93]	train-logloss:0.00835	train-auc:0.99996	eval-logloss:0.15416	eval-auc:0.61095
[94]	train-logloss:0.00809	train-auc:0.99996	eval-logloss:0.15506	eval-auc:0.60996
[95]	train-logloss:0.00801	train-auc:0.99996	eval-logloss:0.15551	eval-auc:0.61046
[96]	train-logloss:0.00782	train-auc:0.99996	eval-logloss:0.15610	eval-auc:0.61116
[97]	train-logloss:0.00774	train-auc:0.99997	eval-logloss:0.15641	eval-auc:0.61073
[98]	train-logloss:0.00760	train-auc:0.99997	eval-logloss:0.15677	eval-auc:0.61051
[99]	train-logloss:0.00745	train-auc:0.99997	eval-logloss:0.15712	eval-auc:0.61056
[100]	train-logloss:0.00736	train-auc:0.99997	eval-logloss:0.15727	eval-auc:0.61105
[101]	train-logloss:0.00725	train-auc:0.99997	eval-logloss:0.15771	eval-auc:0.61089
[102]	train-logloss:0.00718	train-auc:0.99997	eval-logloss:0.15828	eval-auc:0.61078
[103]	train-logloss:0.00706	train-auc:0.99998	eval-logloss:0.15854	eval-auc:0.61074
[104]	train-logloss:0.00700	train-auc:0.99998	eval-logloss:0.15859	eval-auc:0.61171
[105]	train-logloss:0.00692	train-auc:0.99998	eval-logloss:0.15891	eval-auc:0.61234
[106]	train-logloss:0.00687	train-auc:0.99998	eval-logloss:0.15893	eval-auc:0.61374
[107]	train-logloss:0.00681	train-auc:0.99998	eval-logloss:0.15929	eval-auc:0.61251
[108]	train-logloss:0.00674	train-auc:0.99998	eval-logloss:0.15972	eval-auc:0.61312
[109]	train-logloss:0.00664	train-auc:0.99998	eval-logloss:0.16027	eval-auc:0.61229
[110]	train-logloss:0.00660	train-auc:0.99998	eval-logloss:0.16067	eval-auc:0.61221
[111]	train-logloss:0.00648	train-auc:0.99998	eval-logloss:0.16118	eval-auc:0.61215
[112]	train-logloss:0.00639	train-auc:0.99998	eval-logloss:0.16140	eval-auc:0.61261
[113]	train-logloss:0.00626	train-auc:0.99998	eval-logloss:0.16182	eval-auc:0.61319
[114]	train-logloss:0.00621	train-auc:0.99998	eval-logloss:0.16202	eval-auc:0.61315
[115]	train-logloss:0.00615	train-auc:0.99998	eval-logloss:0.16221	eval-auc:0.61319
[116]	train-logloss:0.00611	train-auc:0.99998	eval-logloss:0.16265	eval-auc:0.61260
[117]	train-logloss:0.00603	train-auc:0.99998	eval-logloss:0.16330	eval-auc:0.61107
[118]	train-logloss:0.00598	train-auc:0.99998	eval-logloss:0.16351	eval-auc:0.61121
[119]	train-logloss:0.00591	train-auc:0.99998	eval-logloss:0.16366	eval-auc:0.61113
[120]	train-logloss:0.00583	train-auc:0.99999	eval-logloss:0.16405	eval-auc:0.61090
[121]	train-logloss:0.00579	train-auc:0.99999	eval-logloss:0.16452	eval-auc:0.61033
[122]	train-logloss:0.00573	train-auc:0.99999	eval-logloss:0.16457	eval-auc:0.61076
[123]	train-logloss:0.00567	train-auc:0.99999	eval-logloss:0.16464	eval-auc:0.61156
[124]	train-logloss:0.00562	train-auc:0.99999	eval-logloss:0.16506	eval-auc:0.61230
[125]	train-logloss:0.00555	train-auc:0.99999	eval-logloss:0.16518	eval-auc:0.61293
[126]	train-logloss:0.00540	train-auc:0.99999	eval-logloss:0.16539	eval-auc:0.61433
[127]	train-logloss:0.00527	train-auc:0.99999	eval-logloss:0.16567	eval-auc:0.61590
[128]	train-logloss:0.00518	train-auc:0.99999	eval-logloss:0.16640	eval-auc:0.61392
[129]	train-logloss:0.00512	train-auc:0.99999	eval-logloss:0.16672	eval-auc:0.61358
[130]	train-logloss:0.00506	train-auc:0.99999	eval-logloss:0.16673	eval-auc:0.61474
[131]	train-logloss:0.00501	train-auc:0.99999	eval-logloss:0.16700	eval-auc:0.61395
[132]	train-logloss:0.00497	train-auc:0.99999	eval-logloss:0.16739	eval-auc:0.61378
[133]	train-logloss:0.00492	train-auc:0.99999	eval-logloss:0.16809	eval-auc:0.61358
[134]	train-logloss:0.00483	train-auc:0.99999	eval-logloss:0.16799	eval-auc:0.61383
[135]	train-logloss:0.00480	train-auc:1.00000	eval-logloss:0.16791	eval-auc:0.61444
[136]	train-logloss:0.00472	train-auc:1.00000	eval-logloss:0.16810	eval-auc:0.61406
[137]	train-logloss:0.00466	train-auc:1.00000	eval-logloss:0.16811	eval-auc:0.61443
