No overlap between train and test sets.
[66]	train-logloss:0.01756	train-auc:0.99925	eval-logloss:0.16502	eval-auc:0.52864
[67]	train-logloss:0.01741	train-auc:0.99927	eval-logloss:0.16543	eval-auc:0.53173
[68]	train-logloss:0.01709	train-auc:0.99934	eval-logloss:0.16605	eval-auc:0.53053
[69]	train-logloss:0.01657	train-auc:0.99939	eval-logloss:0.16826	eval-auc:0.52382
[70]	train-logloss:0.01641	train-auc:0.99940	eval-logloss:0.16836	eval-auc:0.52498
[71]	train-logloss:0.01583	train-auc:0.99944	eval-logloss:0.16904	eval-auc:0.52764
[72]	train-logloss:0.01547	train-auc:0.99947	eval-logloss:0.16959	eval-auc:0.52828
[73]	train-logloss:0.01516	train-auc:0.99950	eval-logloss:0.17036	eval-auc:0.52804
[74]	train-logloss:0.01487	train-auc:0.99953	eval-logloss:0.17109	eval-auc:0.52794
[75]	train-logloss:0.01467	train-auc:0.99954	eval-logloss:0.17163	eval-auc:0.52739
[76]	train-logloss:0.01438	train-auc:0.99955	eval-logloss:0.17236	eval-auc:0.52853
[77]	train-logloss:0.01417	train-auc:0.99957	eval-logloss:0.17303	eval-auc:0.52635
[78]	train-logloss:0.01407	train-auc:0.99957	eval-logloss:0.17388	eval-auc:0.52526
[79]	train-logloss:0.01391	train-auc:0.99956	eval-logloss:0.17435	eval-auc:0.52366
[80]	train-logloss:0.01377	train-auc:0.99957	eval-logloss:0.17584	eval-auc:0.52209
[81]	train-logloss:0.01369	train-auc:0.99958	eval-logloss:0.17580	eval-auc:0.52317
[82]	train-logloss:0.01340	train-auc:0.99963	eval-logloss:0.17602	eval-auc:0.52440
[83]	train-logloss:0.01309	train-auc:0.99971	eval-logloss:0.17655	eval-auc:0.52478
[84]	train-logloss:0.01274	train-auc:0.99974	eval-logloss:0.17748	eval-auc:0.52132
[85]	train-logloss:0.01260	train-auc:0.99976	eval-logloss:0.17766	eval-auc:0.52410
[86]	train-logloss:0.01211	train-auc:0.99982	eval-logloss:0.17875	eval-auc:0.52393
[87]	train-logloss:0.01189	train-auc:0.99982	eval-logloss:0.17934	eval-auc:0.52370
[88]	train-logloss:0.01166	train-auc:0.99982	eval-logloss:0.17999	eval-auc:0.52273
[89]	train-logloss:0.01154	train-auc:0.99983	eval-logloss:0.18079	eval-auc:0.52150
[90]	train-logloss:0.01137	train-auc:0.99983	eval-logloss:0.18103	eval-auc:0.52394
[91]	train-logloss:0.01118	train-auc:0.99985	eval-logloss:0.18154	eval-auc:0.52402
[92]	train-logloss:0.01108	train-auc:0.99985	eval-logloss:0.18177	eval-auc:0.52536
[93]	train-logloss:0.01102	train-auc:0.99985	eval-logloss:0.18214	eval-auc:0.52435
[94]	train-logloss:0.01086	train-auc:0.99987	eval-logloss:0.18293	eval-auc:0.52175
[95]	train-logloss:0.01080	train-auc:0.99987	eval-logloss:0.18315	eval-auc:0.52251
[96]	train-logloss:0.01072	train-auc:0.99988	eval-logloss:0.18359	eval-auc:0.52286
