No overlap between train and test sets.
[66]	train-logloss:0.00812	train-auc:1.00000	eval-logloss:0.15121	eval-auc:0.57783
[67]	train-logloss:0.00782	train-auc:1.00000	eval-logloss:0.15240	eval-auc:0.57541
[68]	train-logloss:0.00759	train-auc:1.00000	eval-logloss:0.15385	eval-auc:0.57345
[69]	train-logloss:0.00749	train-auc:1.00000	eval-logloss:0.15405	eval-auc:0.57368
[70]	train-logloss:0.00736	train-auc:1.00000	eval-logloss:0.15491	eval-auc:0.57219
[71]	train-logloss:0.00711	train-auc:1.00000	eval-logloss:0.15535	eval-auc:0.57494
[72]	train-logloss:0.00690	train-auc:1.00000	eval-logloss:0.15660	eval-auc:0.57287
[73]	train-logloss:0.00675	train-auc:1.00000	eval-logloss:0.15720	eval-auc:0.57290
[74]	train-logloss:0.00654	train-auc:1.00000	eval-logloss:0.15767	eval-auc:0.57299
[75]	train-logloss:0.00642	train-auc:1.00000	eval-logloss:0.15804	eval-auc:0.57406
[76]	train-logloss:0.00619	train-auc:1.00000	eval-logloss:0.15864	eval-auc:0.57645
[77]	train-logloss:0.00595	train-auc:1.00000	eval-logloss:0.15939	eval-auc:0.57669
[78]	train-logloss:0.00578	train-auc:1.00000	eval-logloss:0.16051	eval-auc:0.57659
[79]	train-logloss:0.00566	train-auc:1.00000	eval-logloss:0.16079	eval-auc:0.57682
[80]	train-logloss:0.00560	train-auc:1.00000	eval-logloss:0.16102	eval-auc:0.57743
[81]	train-logloss:0.00549	train-auc:1.00000	eval-logloss:0.16172	eval-auc:0.57590
[82]	train-logloss:0.00535	train-auc:1.00000	eval-logloss:0.16236	eval-auc:0.57628
[83]	train-logloss:0.00522	train-auc:1.00000	eval-logloss:0.16293	eval-auc:0.57688
[84]	train-logloss:0.00513	train-auc:1.00000	eval-logloss:0.16317	eval-auc:0.57746
[85]	train-logloss:0.00504	train-auc:1.00000	eval-logloss:0.16351	eval-auc:0.57882
[86]	train-logloss:0.00491	train-auc:1.00000	eval-logloss:0.16377	eval-auc:0.58062
[87]	train-logloss:0.00476	train-auc:1.00000	eval-logloss:0.16426	eval-auc:0.58030
[88]	train-logloss:0.00468	train-auc:1.00000	eval-logloss:0.16474	eval-auc:0.57997
[89]	train-logloss:0.00454	train-auc:1.00000	eval-logloss:0.16529	eval-auc:0.57982
[90]	train-logloss:0.00438	train-auc:1.00000	eval-logloss:0.16597	eval-auc:0.58197
[91]	train-logloss:0.00428	train-auc:1.00000	eval-logloss:0.16649	eval-auc:0.58088
[92]	train-logloss:0.00416	train-auc:1.00000	eval-logloss:0.16741	eval-auc:0.58049
[93]	train-logloss:0.00402	train-auc:1.00000	eval-logloss:0.16850	eval-auc:0.57972
[94]	train-logloss:0.00394	train-auc:1.00000	eval-logloss:0.16914	eval-auc:0.57939
[95]	train-logloss:0.00391	train-auc:1.00000	eval-logloss:0.16918	eval-auc:0.57977
[96]	train-logloss:0.00383	train-auc:1.00000	eval-logloss:0.16992	eval-auc:0.57808
[97]	train-logloss:0.00374	train-auc:1.00000	eval-logloss:0.17034	eval-auc:0.57847
[98]	train-logloss:0.00362	train-auc:1.00000	eval-logloss:0.17101	eval-auc:0.57874
[99]	train-logloss:0.00355	train-auc:1.00000	eval-logloss:0.17138	eval-auc:0.58015
[100]	train-logloss:0.00348	train-auc:1.00000	eval-logloss:0.17216	eval-auc:0.57868
[101]	train-logloss:0.00338	train-auc:1.00000	eval-logloss:0.17304	eval-auc:0.57917
[102]	train-logloss:0.00333	train-auc:1.00000	eval-logloss:0.17354	eval-auc:0.57896
[103]	train-logloss:0.00323	train-auc:1.00000	eval-logloss:0.17436	eval-auc:0.57761
[104]	train-logloss:0.00318	train-auc:1.00000	eval-logloss:0.17477	eval-auc:0.57811
[105]	train-logloss:0.00307	train-auc:1.00000	eval-logloss:0.17545	eval-auc:0.57707
[106]	train-logloss:0.00296	train-auc:1.00000	eval-logloss:0.17678	eval-auc:0.57527
[107]	train-logloss:0.00292	train-auc:1.00000	eval-logloss:0.17698	eval-auc:0.57593
[108]	train-logloss:0.00290	train-auc:1.00000	eval-logloss:0.17707	eval-auc:0.57602
[109]	train-logloss:0.00286	train-auc:1.00000	eval-logloss:0.17743	eval-auc:0.57540
[110]	train-logloss:0.00284	train-auc:1.00000	eval-logloss:0.17780	eval-auc:0.57505
[111]	train-logloss:0.00281	train-auc:1.00000	eval-logloss:0.17808	eval-auc:0.57573
[112]	train-logloss:0.00276	train-auc:1.00000	eval-logloss:0.17885	eval-auc:0.57429
[113]	train-logloss:0.00271	train-auc:1.00000	eval-logloss:0.17956	eval-auc:0.57256
[114]	train-logloss:0.00265	train-auc:1.00000	eval-logloss:0.18005	eval-auc:0.57252
[115]	train-logloss:0.00258	train-auc:1.00000	eval-logloss:0.18060	eval-auc:0.57179
[116]	train-logloss:0.00252	train-auc:1.00000	eval-logloss:0.18131	eval-auc:0.57111
