No overlap between train and test sets.
[66]	train-logloss:0.00071	train-auc:0.99996	eval-logloss:0.01410	eval-auc:0.99857
[67]	train-logloss:0.00069	train-auc:0.99997	eval-logloss:0.01420	eval-auc:0.99859
[68]	train-logloss:0.00067	train-auc:0.99997	eval-logloss:0.01432	eval-auc:0.99847
[69]	train-logloss:0.00066	train-auc:0.99997	eval-logloss:0.01439	eval-auc:0.99845
[70]	train-logloss:0.00064	train-auc:0.99997	eval-logloss:0.01439	eval-auc:0.99843
[71]	train-logloss:0.00063	train-auc:0.99997	eval-logloss:0.01439	eval-auc:0.99846
[72]	train-logloss:0.00061	train-auc:0.99997	eval-logloss:0.01433	eval-auc:0.99847
[73]	train-logloss:0.00060	train-auc:0.99998	eval-logloss:0.01444	eval-auc:0.99842
[74]	train-logloss:0.00058	train-auc:0.99998	eval-logloss:0.01452	eval-auc:0.99842
[75]	train-logloss:0.00056	train-auc:0.99998	eval-logloss:0.01472	eval-auc:0.99834
[76]	train-logloss:0.00055	train-auc:0.99998	eval-logloss:0.01479	eval-auc:0.99840
[77]	train-logloss:0.00054	train-auc:0.99998	eval-logloss:0.01486	eval-auc:0.99841
[78]	train-logloss:0.00052	train-auc:0.99999	eval-logloss:0.01488	eval-auc:0.99834
[79]	train-logloss:0.00050	train-auc:0.99999	eval-logloss:0.01481	eval-auc:0.99841
[80]	train-logloss:0.00049	train-auc:0.99999	eval-logloss:0.01473	eval-auc:0.99846
[81]	train-logloss:0.00048	train-auc:0.99999	eval-logloss:0.01478	eval-auc:0.99842
[82]	train-logloss:0.00046	train-auc:0.99999	eval-logloss:0.01489	eval-auc:0.99823
[83]	train-logloss:0.00045	train-auc:0.99999	eval-logloss:0.01490	eval-auc:0.99824
[84]	train-logloss:0.00044	train-auc:0.99999	eval-logloss:0.01497	eval-auc:0.99812
[85]	train-logloss:0.00043	train-auc:0.99999	eval-logloss:0.01505	eval-auc:0.99816
[86]	train-logloss:0.00042	train-auc:1.00000	eval-logloss:0.01506	eval-auc:0.99812
[87]	train-logloss:0.00041	train-auc:1.00000	eval-logloss:0.01499	eval-auc:0.99821
[88]	train-logloss:0.00040	train-auc:1.00000	eval-logloss:0.01506	eval-auc:0.99810
[89]	train-logloss:0.00039	train-auc:1.00000	eval-logloss:0.01501	eval-auc:0.99817
[90]	train-logloss:0.00037	train-auc:1.00000	eval-logloss:0.01501	eval-auc:0.99823
[91]	train-logloss:0.00035	train-auc:1.00000	eval-logloss:0.01503	eval-auc:0.99831
[92]	train-logloss:0.00034	train-auc:1.00000	eval-logloss:0.01501	eval-auc:0.99833
[93]	train-logloss:0.00033	train-auc:1.00000	eval-logloss:0.01511	eval-auc:0.99815
[94]	train-logloss:0.00032	train-auc:1.00000	eval-logloss:0.01514	eval-auc:0.99821
[95]	train-logloss:0.00031	train-auc:1.00000	eval-logloss:0.01517	eval-auc:0.99831
[96]	train-logloss:0.00031	train-auc:1.00000	eval-logloss:0.01517	eval-auc:0.99830
[97]	train-logloss:0.00030	train-auc:1.00000	eval-logloss:0.01514	eval-auc:0.99837
[98]	train-logloss:0.00028	train-auc:1.00000	eval-logloss:0.01516	eval-auc:0.99837
[99]	train-logloss:0.00028	train-auc:1.00000	eval-logloss:0.01516	eval-auc:0.99839
[100]	train-logloss:0.00027	train-auc:1.00000	eval-logloss:0.01511	eval-auc:0.99842
[101]	train-logloss:0.00027	train-auc:1.00000	eval-logloss:0.01516	eval-auc:0.99847
[102]	train-logloss:0.00026	train-auc:1.00000	eval-logloss:0.01520	eval-auc:0.99847
[103]	train-logloss:0.00025	train-auc:1.00000	eval-logloss:0.01524	eval-auc:0.99848
[104]	train-logloss:0.00024	train-auc:1.00000	eval-logloss:0.01516	eval-auc:0.99842
[105]	train-logloss:0.00024	train-auc:1.00000	eval-logloss:0.01511	eval-auc:0.99848
[106]	train-logloss:0.00023	train-auc:1.00000	eval-logloss:0.01511	eval-auc:0.99851
[107]	train-logloss:0.00023	train-auc:1.00000	eval-logloss:0.01516	eval-auc:0.99844
[108]	train-logloss:0.00022	train-auc:1.00000	eval-logloss:0.01516	eval-auc:0.99837
[109]	train-logloss:0.00021	train-auc:1.00000	eval-logloss:0.01517	eval-auc:0.99834
[110]	train-logloss:0.00021	train-auc:1.00000	eval-logloss:0.01511	eval-auc:0.99835
[111]	train-logloss:0.00020	train-auc:1.00000	eval-logloss:0.01512	eval-auc:0.99837
[112]	train-logloss:0.00020	train-auc:1.00000	eval-logloss:0.01510	eval-auc:0.99841
[113]	train-logloss:0.00019	train-auc:1.00000	eval-logloss:0.01506	eval-auc:0.99846
[114]	train-logloss:0.00019	train-auc:1.00000	eval-logloss:0.01500	eval-auc:0.99845
[115]	train-logloss:0.00019	train-auc:1.00000	eval-logloss:0.01506	eval-auc:0.99842
[116]	train-logloss:0.00018	train-auc:1.00000	eval-logloss:0.01507	eval-auc:0.99842
[117]	train-logloss:0.00018	train-auc:1.00000	eval-logloss:0.01500	eval-auc:0.99843
[118]	train-logloss:0.00017	train-auc:1.00000	eval-logloss:0.01507	eval-auc:0.99845
[119]	train-logloss:0.00017	train-auc:1.00000	eval-logloss:0.01506	eval-auc:0.99846
[120]	train-logloss:0.00017	train-auc:1.00000	eval-logloss:0.01510	eval-auc:0.99847
[121]	train-logloss:0.00017	train-auc:1.00000	eval-logloss:0.01510	eval-auc:0.99849
[122]	train-logloss:0.00016	train-auc:1.00000	eval-logloss:0.01513	eval-auc:0.99846
[123]	train-logloss:0.00016	train-auc:1.00000	eval-logloss:0.01512	eval-auc:0.99854
[124]	train-logloss:0.00016	train-auc:1.00000	eval-logloss:0.01513	eval-auc:0.99854
[125]	train-logloss:0.00016	train-auc:1.00000	eval-logloss:0.01518	eval-auc:0.99849
[126]	train-logloss:0.00015	train-auc:1.00000	eval-logloss:0.01522	eval-auc:0.99843
[127]	train-logloss:0.00015	train-auc:1.00000	eval-logloss:0.01525	eval-auc:0.99843
[128]	train-logloss:0.00015	train-auc:1.00000	eval-logloss:0.01532	eval-auc:0.99842
[129]	train-logloss:0.00015	train-auc:1.00000	eval-logloss:0.01533	eval-auc:0.99844
[130]	train-logloss:0.00015	train-auc:1.00000	eval-logloss:0.01539	eval-auc:0.99844
[131]	train-logloss:0.00015	train-auc:1.00000	eval-logloss:0.01536	eval-auc:0.99845
[132]	train-logloss:0.00014	train-auc:1.00000	eval-logloss:0.01532	eval-auc:0.99850
[133]	train-logloss:0.00014	train-auc:1.00000	eval-logloss:0.01529	eval-auc:0.99851
[134]	train-logloss:0.00014	train-auc:1.00000	eval-logloss:0.01534	eval-auc:0.99850
[135]	train-logloss:0.00014	train-auc:1.00000	eval-logloss:0.01534	eval-auc:0.99848
[136]	train-logloss:0.00014	train-auc:1.00000	eval-logloss:0.01537	eval-auc:0.99848
[137]	train-logloss:0.00014	train-auc:1.00000	eval-logloss:0.01538	eval-auc:0.99849
[138]	train-logloss:0.00014	train-auc:1.00000	eval-logloss:0.01538	eval-auc:0.99849
[139]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01540	eval-auc:0.99848
[140]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01544	eval-auc:0.99848
[141]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01546	eval-auc:0.99843
[142]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01544	eval-auc:0.99844
[143]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01543	eval-auc:0.99846
[144]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01545	eval-auc:0.99847
[145]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01546	eval-auc:0.99844
[146]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01547	eval-auc:0.99844
[147]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01546	eval-auc:0.99838
[148]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01545	eval-auc:0.99838
[149]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01547	eval-auc:0.99837
[150]	train-logloss:0.00013	train-auc:1.00000	eval-logloss:0.01552	eval-auc:0.99837
[151]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01551	eval-auc:0.99838
[152]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01553	eval-auc:0.99833
[153]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01553	eval-auc:0.99833
[154]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01551	eval-auc:0.99834
[155]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01554	eval-auc:0.99834
[156]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01554	eval-auc:0.99830
[157]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99831
[158]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01551	eval-auc:0.99832
[159]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99834
[160]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01556	eval-auc:0.99834
[161]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01556	eval-auc:0.99830
[162]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01554	eval-auc:0.99831
[163]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01555	eval-auc:0.99829
[164]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01554	eval-auc:0.99832
[165]	train-logloss:0.00012	train-auc:1.00000	eval-logloss:0.01556	eval-auc:0.99832
[166]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01555	eval-auc:0.99832
[167]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01552	eval-auc:0.99833
[168]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01551	eval-auc:0.99834
[169]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01551	eval-auc:0.99834
[170]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99836
[171]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99832
[172]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01553	eval-auc:0.99832
[173]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01552	eval-auc:0.99833
[174]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01553	eval-auc:0.99830
[175]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01552	eval-auc:0.99830
[176]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01552	eval-auc:0.99830
[177]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99832
[178]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01554	eval-auc:0.99832
[179]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99836
[180]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01552	eval-auc:0.99831
[181]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99834
[182]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01550	eval-auc:0.99834
[183]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01551	eval-auc:0.99831
[184]	train-logloss:0.00011	train-auc:1.00000	eval-logloss:0.01552	eval-auc:0.99829
